Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
0.9,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
0.875,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
479.0,0BK_BODY,MEDIAN_RT
443.5,0BK_BODY,MEDIAN_RT_TARGET
492.0,0BK_BODY,MEDIAN_RT_NONTARGET
585.5,0BK_FACE,MEDIAN_RT
477.0,0BK_FACE,MEDIAN_RT_TARGET
611.0,0BK_FACE,MEDIAN_RT_NONTARGET
578.0,0BK_PLACE,MEDIAN_RT
548.5,0BK_PLACE,MEDIAN_RT_TARGET
583.0,0BK_PLACE,MEDIAN_RT_NONTARGET
472.0,0BK_TOOL,MEDIAN_RT
958.5,0BK_TOOL,MEDIAN_RT_TARGET
450.5,0BK_TOOL,MEDIAN_RT_NONTARGET
1.0,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
0.75,2BK_FACE,ACC
0.5,2BK_FACE,ACC_TARGET
0.833333333333,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
0.75,2BK_TOOL,ACC
0.5,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
887.5,2BK_BODY,MEDIAN_RT
729.0,2BK_BODY,MEDIAN_RT_TARGET
908.5,2BK_BODY,MEDIAN_RT_NONTARGET
733.0,2BK_FACE,MEDIAN_RT
767.0,2BK_FACE,MEDIAN_RT_TARGET
699.0,2BK_FACE,MEDIAN_RT_NONTARGET
873.5,2BK_PLACE,MEDIAN_RT
1184.0,2BK_PLACE,MEDIAN_RT_TARGET
845.0,2BK_PLACE,MEDIAN_RT_NONTARGET
779.0,2BK_TOOL,MEDIAN_RT
612.0,2BK_TOOL,MEDIAN_RT_TARGET
784.0,2BK_TOOL,MEDIAN_RT_NONTARGET
