Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
801.0,0BK_BODY,MEDIAN_RT
696.0,0BK_BODY,MEDIAN_RT_TARGET
928.0,0BK_BODY,MEDIAN_RT_NONTARGET
494.5,0BK_FACE,MEDIAN_RT
466.0,0BK_FACE,MEDIAN_RT_TARGET
500.0,0BK_FACE,MEDIAN_RT_NONTARGET
622.0,0BK_PLACE,MEDIAN_RT
623.5,0BK_PLACE,MEDIAN_RT_TARGET
622.0,0BK_PLACE,MEDIAN_RT_NONTARGET
683.5,0BK_TOOL,MEDIAN_RT
931.5,0BK_TOOL,MEDIAN_RT_TARGET
655.5,0BK_TOOL,MEDIAN_RT_NONTARGET
1.0,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
0.875,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
954.5,2BK_BODY,MEDIAN_RT
849.0,2BK_BODY,MEDIAN_RT_TARGET
954.5,2BK_BODY,MEDIAN_RT_NONTARGET
916.5,2BK_FACE,MEDIAN_RT
801.0,2BK_FACE,MEDIAN_RT_TARGET
974.5,2BK_FACE,MEDIAN_RT_NONTARGET
895.0,2BK_PLACE,MEDIAN_RT
983.5,2BK_PLACE,MEDIAN_RT_TARGET
879.5,2BK_PLACE,MEDIAN_RT_NONTARGET
854.0,2BK_TOOL,MEDIAN_RT
662.0,2BK_TOOL,MEDIAN_RT_TARGET
884.0,2BK_TOOL,MEDIAN_RT_NONTARGET
