Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
0.9,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
0.875,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
0.9,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
0.875,0BK_TOOL,ACC_NONTARGET
787.0,0BK_BODY,MEDIAN_RT
1023.0,0BK_BODY,MEDIAN_RT_TARGET
777.5,0BK_BODY,MEDIAN_RT_NONTARGET
894.0,0BK_FACE,MEDIAN_RT
649.0,0BK_FACE,MEDIAN_RT_TARGET
904.0,0BK_FACE,MEDIAN_RT_NONTARGET
839.0,0BK_PLACE,MEDIAN_RT
987.5,0BK_PLACE,MEDIAN_RT_TARGET
743.5,0BK_PLACE,MEDIAN_RT_NONTARGET
668.0,0BK_TOOL,MEDIAN_RT
827.0,0BK_TOOL,MEDIAN_RT_TARGET
668.0,0BK_TOOL,MEDIAN_RT_NONTARGET
1.0,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
0.625,2BK_PLACE,ACC
0.0,2BK_PLACE,ACC_TARGET
0.833333333333,2BK_PLACE,ACC_NONTARGET
0.875,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
965.5,2BK_BODY,MEDIAN_RT
1044.5,2BK_BODY,MEDIAN_RT_TARGET
965.5,2BK_BODY,MEDIAN_RT_NONTARGET
954.5,2BK_FACE,MEDIAN_RT
1754.0,2BK_FACE,MEDIAN_RT_TARGET
870.0,2BK_FACE,MEDIAN_RT_NONTARGET
1475.0,2BK_PLACE,MEDIAN_RT
nan,2BK_PLACE,MEDIAN_RT_TARGET
1475.0,2BK_PLACE,MEDIAN_RT_NONTARGET
738.0,2BK_TOOL,MEDIAN_RT
645.0,2BK_TOOL,MEDIAN_RT_TARGET
746.0,2BK_TOOL,MEDIAN_RT_NONTARGET
