Value,ConditionName,Measure
4246.0,STORY,MEDIAN_RT
0.75,STORY,ACC
11.7142857143,STORY,AVG_DIFFICULTY_LEVEL
4009.0,MATH,MEDIAN_RT
1.0,MATH,ACC
2.71428571429,MATH,AVG_DIFFICULTY_LEVEL
