Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
0.9,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
0.875,0BK_TOOL,ACC_NONTARGET
964.0,0BK_BODY,MEDIAN_RT
860.5,0BK_BODY,MEDIAN_RT_TARGET
964.0,0BK_BODY,MEDIAN_RT_NONTARGET
830.5,0BK_FACE,MEDIAN_RT
659.5,0BK_FACE,MEDIAN_RT_TARGET
853.5,0BK_FACE,MEDIAN_RT_NONTARGET
938.0,0BK_PLACE,MEDIAN_RT
853.0,0BK_PLACE,MEDIAN_RT_TARGET
1008.5,0BK_PLACE,MEDIAN_RT_NONTARGET
869.0,0BK_TOOL,MEDIAN_RT
680.0,0BK_TOOL,MEDIAN_RT_TARGET
885.0,0BK_TOOL,MEDIAN_RT_NONTARGET
0.625,2BK_BODY,ACC
0.5,2BK_BODY,ACC_TARGET
0.666666666667,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
0.875,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
1102.0,2BK_BODY,MEDIAN_RT
868.0,2BK_BODY,MEDIAN_RT_TARGET
1237.0,2BK_BODY,MEDIAN_RT_NONTARGET
990.0,2BK_FACE,MEDIAN_RT
890.5,2BK_FACE,MEDIAN_RT_TARGET
990.0,2BK_FACE,MEDIAN_RT_NONTARGET
1072.0,2BK_PLACE,MEDIAN_RT
968.5,2BK_PLACE,MEDIAN_RT_TARGET
1072.0,2BK_PLACE,MEDIAN_RT_NONTARGET
942.0,2BK_TOOL,MEDIAN_RT
721.5,2BK_TOOL,MEDIAN_RT_TARGET
1059.0,2BK_TOOL,MEDIAN_RT_NONTARGET
