Value,ConditionName,Measure
2829.0,STORY,MEDIAN_RT
1.0,STORY,ACC
10.5,STORY,AVG_DIFFICULTY_LEVEL
4385.0,MATH,MEDIAN_RT
0.7,MATH,ACC
1.5,MATH,AVG_DIFFICULTY_LEVEL
