Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
861.5,0BK_BODY,MEDIAN_RT
699.5,0BK_BODY,MEDIAN_RT_TARGET
885.0,0BK_BODY,MEDIAN_RT_NONTARGET
761.5,0BK_FACE,MEDIAN_RT
822.5,0BK_FACE,MEDIAN_RT_TARGET
739.5,0BK_FACE,MEDIAN_RT_NONTARGET
803.0,0BK_PLACE,MEDIAN_RT
771.0,0BK_PLACE,MEDIAN_RT_TARGET
832.5,0BK_PLACE,MEDIAN_RT_NONTARGET
763.0,0BK_TOOL,MEDIAN_RT
784.0,0BK_TOOL,MEDIAN_RT_TARGET
763.0,0BK_TOOL,MEDIAN_RT_NONTARGET
1.0,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
1.0,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
1.0,2BK_TOOL,ACC_NONTARGET
927.5,2BK_BODY,MEDIAN_RT
844.0,2BK_BODY,MEDIAN_RT_TARGET
962.0,2BK_BODY,MEDIAN_RT_NONTARGET
777.0,2BK_FACE,MEDIAN_RT
831.0,2BK_FACE,MEDIAN_RT_TARGET
777.0,2BK_FACE,MEDIAN_RT_NONTARGET
945.0,2BK_PLACE,MEDIAN_RT
1195.0,2BK_PLACE,MEDIAN_RT_TARGET
921.0,2BK_PLACE,MEDIAN_RT_NONTARGET
975.5,2BK_TOOL,MEDIAN_RT
1071.0,2BK_TOOL,MEDIAN_RT_TARGET
975.5,2BK_TOOL,MEDIAN_RT_NONTARGET
