Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
1213.5,0BK_BODY,MEDIAN_RT
1266.0,0BK_BODY,MEDIAN_RT_TARGET
1213.5,0BK_BODY,MEDIAN_RT_NONTARGET
998.0,0BK_FACE,MEDIAN_RT
930.0,0BK_FACE,MEDIAN_RT_TARGET
1038.5,0BK_FACE,MEDIAN_RT_NONTARGET
1007.0,0BK_PLACE,MEDIAN_RT
889.5,0BK_PLACE,MEDIAN_RT_TARGET
1046.0,0BK_PLACE,MEDIAN_RT_NONTARGET
910.0,0BK_TOOL,MEDIAN_RT
931.0,0BK_TOOL,MEDIAN_RT_TARGET
906.5,0BK_TOOL,MEDIAN_RT_NONTARGET
0.75,2BK_BODY,ACC
0.5,2BK_BODY,ACC_TARGET
0.833333333333,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
0.875,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
1514.5,2BK_BODY,MEDIAN_RT
1305.0,2BK_BODY,MEDIAN_RT_TARGET
1700.0,2BK_BODY,MEDIAN_RT_NONTARGET
1258.5,2BK_FACE,MEDIAN_RT
1258.5,2BK_FACE,MEDIAN_RT_TARGET
1271.5,2BK_FACE,MEDIAN_RT_NONTARGET
1043.5,2BK_PLACE,MEDIAN_RT
1157.5,2BK_PLACE,MEDIAN_RT_TARGET
1043.5,2BK_PLACE,MEDIAN_RT_NONTARGET
1233.0,2BK_TOOL,MEDIAN_RT
1282.5,2BK_TOOL,MEDIAN_RT_TARGET
1233.0,2BK_TOOL,MEDIAN_RT_NONTARGET
