Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
0.9,0BK_FACE,ACC
0.5,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
0.7,0BK_TOOL,ACC
0.0,0BK_TOOL,ACC_TARGET
0.875,0BK_TOOL,ACC_NONTARGET
821.0,0BK_BODY,MEDIAN_RT
753.0,0BK_BODY,MEDIAN_RT_TARGET
826.0,0BK_BODY,MEDIAN_RT_NONTARGET
647.0,0BK_FACE,MEDIAN_RT
647.0,0BK_FACE,MEDIAN_RT_TARGET
628.0,0BK_FACE,MEDIAN_RT_NONTARGET
767.0,0BK_PLACE,MEDIAN_RT
1002.0,0BK_PLACE,MEDIAN_RT_TARGET
767.0,0BK_PLACE,MEDIAN_RT_NONTARGET
795.0,0BK_TOOL,MEDIAN_RT
nan,0BK_TOOL,MEDIAN_RT_TARGET
795.0,0BK_TOOL,MEDIAN_RT_NONTARGET
0.875,2BK_BODY,ACC
0.5,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
0.625,2BK_FACE,ACC
0.0,2BK_FACE,ACC_TARGET
0.833333333333,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
1.0,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
1.0,2BK_TOOL,ACC_NONTARGET
1015.0,2BK_BODY,MEDIAN_RT
1850.0,2BK_BODY,MEDIAN_RT_TARGET
975.0,2BK_BODY,MEDIAN_RT_NONTARGET
1108.0,2BK_FACE,MEDIAN_RT
nan,2BK_FACE,MEDIAN_RT_TARGET
1108.0,2BK_FACE,MEDIAN_RT_NONTARGET
1052.0,2BK_PLACE,MEDIAN_RT
967.0,2BK_PLACE,MEDIAN_RT_TARGET
1096.0,2BK_PLACE,MEDIAN_RT_NONTARGET
1276.0,2BK_TOOL,MEDIAN_RT
1206.5,2BK_TOOL,MEDIAN_RT_TARGET
1276.0,2BK_TOOL,MEDIAN_RT_NONTARGET
