Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
620.5,0BK_BODY,MEDIAN_RT
665.5,0BK_BODY,MEDIAN_RT_TARGET
581.0,0BK_BODY,MEDIAN_RT_NONTARGET
626.0,0BK_FACE,MEDIAN_RT
594.0,0BK_FACE,MEDIAN_RT_TARGET
665.0,0BK_FACE,MEDIAN_RT_NONTARGET
663.0,0BK_PLACE,MEDIAN_RT
646.5,0BK_PLACE,MEDIAN_RT_TARGET
728.5,0BK_PLACE,MEDIAN_RT_NONTARGET
668.5,0BK_TOOL,MEDIAN_RT
951.0,0BK_TOOL,MEDIAN_RT_TARGET
584.0,0BK_TOOL,MEDIAN_RT_NONTARGET
0.75,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
0.666666666667,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
1.0,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
1.0,2BK_TOOL,ACC_NONTARGET
902.0,2BK_BODY,MEDIAN_RT
650.5,2BK_BODY,MEDIAN_RT_TARGET
1383.0,2BK_BODY,MEDIAN_RT_NONTARGET
777.0,2BK_FACE,MEDIAN_RT
684.5,2BK_FACE,MEDIAN_RT_TARGET
777.0,2BK_FACE,MEDIAN_RT_NONTARGET
945.5,2BK_PLACE,MEDIAN_RT
701.0,2BK_PLACE,MEDIAN_RT_TARGET
995.0,2BK_PLACE,MEDIAN_RT_NONTARGET
744.0,2BK_TOOL,MEDIAN_RT
675.0,2BK_TOOL,MEDIAN_RT_TARGET
772.5,2BK_TOOL,MEDIAN_RT_NONTARGET
