Value,ConditionName,Measure
0.9,0BK_BODY,ACC
0.5,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
0.8,0BK_PLACE,ACC
0.5,0BK_PLACE,ACC_TARGET
0.875,0BK_PLACE,ACC_NONTARGET
0.5,0BK_TOOL,ACC
0.0,0BK_TOOL,ACC_TARGET
0.625,0BK_TOOL,ACC_NONTARGET
786.0,0BK_BODY,MEDIAN_RT
1887.0,0BK_BODY,MEDIAN_RT_TARGET
756.5,0BK_BODY,MEDIAN_RT_NONTARGET
842.0,0BK_FACE,MEDIAN_RT
825.0,0BK_FACE,MEDIAN_RT_TARGET
876.5,0BK_FACE,MEDIAN_RT_NONTARGET
734.5,0BK_PLACE,MEDIAN_RT
858.0,0BK_PLACE,MEDIAN_RT_TARGET
694.0,0BK_PLACE,MEDIAN_RT_NONTARGET
600.0,0BK_TOOL,MEDIAN_RT
nan,0BK_TOOL,MEDIAN_RT_TARGET
600.0,0BK_TOOL,MEDIAN_RT_NONTARGET
0.75,2BK_BODY,ACC
0.5,2BK_BODY,ACC_TARGET
0.833333333333,2BK_BODY,ACC_NONTARGET
0.875,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
0.833333333333,2BK_FACE,ACC_NONTARGET
0.625,2BK_PLACE,ACC
0.5,2BK_PLACE,ACC_TARGET
0.666666666667,2BK_PLACE,ACC_NONTARGET
0.875,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
1100.5,2BK_BODY,MEDIAN_RT
1101.0,2BK_BODY,MEDIAN_RT_TARGET
1100.0,2BK_BODY,MEDIAN_RT_NONTARGET
681.0,2BK_FACE,MEDIAN_RT
912.0,2BK_FACE,MEDIAN_RT_TARGET
644.0,2BK_FACE,MEDIAN_RT_NONTARGET
739.0,2BK_PLACE,MEDIAN_RT
762.0,2BK_PLACE,MEDIAN_RT_TARGET
731.5,2BK_PLACE,MEDIAN_RT_NONTARGET
741.0,2BK_TOOL,MEDIAN_RT
772.5,2BK_TOOL,MEDIAN_RT_TARGET
719.0,2BK_TOOL,MEDIAN_RT_NONTARGET
