Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
0.5,0BK_PLACE,ACC
0.0,0BK_PLACE,ACC_TARGET
0.625,0BK_PLACE,ACC_NONTARGET
0.9,0BK_TOOL,ACC
0.5,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
770.0,0BK_BODY,MEDIAN_RT
907.5,0BK_BODY,MEDIAN_RT_TARGET
765.0,0BK_BODY,MEDIAN_RT_NONTARGET
634.5,0BK_FACE,MEDIAN_RT
543.5,0BK_FACE,MEDIAN_RT_TARGET
643.0,0BK_FACE,MEDIAN_RT_NONTARGET
877.0,0BK_PLACE,MEDIAN_RT
nan,0BK_PLACE,MEDIAN_RT_TARGET
877.0,0BK_PLACE,MEDIAN_RT_NONTARGET
747.0,0BK_TOOL,MEDIAN_RT
1269.0,0BK_TOOL,MEDIAN_RT_TARGET
694.0,0BK_TOOL,MEDIAN_RT_NONTARGET
1.0,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
0.625,2BK_TOOL,ACC
0.5,2BK_TOOL,ACC_TARGET
0.666666666667,2BK_TOOL,ACC_NONTARGET
1078.5,2BK_BODY,MEDIAN_RT
853.0,2BK_BODY,MEDIAN_RT_TARGET
1320.5,2BK_BODY,MEDIAN_RT_NONTARGET
1157.0,2BK_FACE,MEDIAN_RT
1048.0,2BK_FACE,MEDIAN_RT_TARGET
1192.0,2BK_FACE,MEDIAN_RT_NONTARGET
1271.5,2BK_PLACE,MEDIAN_RT
1181.0,2BK_PLACE,MEDIAN_RT_TARGET
1271.5,2BK_PLACE,MEDIAN_RT_NONTARGET
720.0,2BK_TOOL,MEDIAN_RT
474.0,2BK_TOOL,MEDIAN_RT_TARGET
765.0,2BK_TOOL,MEDIAN_RT_NONTARGET
