Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
754.5,0BK_BODY,MEDIAN_RT
682.0,0BK_BODY,MEDIAN_RT_TARGET
908.0,0BK_BODY,MEDIAN_RT_NONTARGET
494.0,0BK_FACE,MEDIAN_RT
444.5,0BK_FACE,MEDIAN_RT_TARGET
494.0,0BK_FACE,MEDIAN_RT_NONTARGET
879.5,0BK_PLACE,MEDIAN_RT
811.5,0BK_PLACE,MEDIAN_RT_TARGET
911.5,0BK_PLACE,MEDIAN_RT_NONTARGET
836.0,0BK_TOOL,MEDIAN_RT
998.5,0BK_TOOL,MEDIAN_RT_TARGET
736.5,0BK_TOOL,MEDIAN_RT_NONTARGET
1.0,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
0.875,2BK_FACE,ACC
0.5,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
0.875,2BK_TOOL,ACC
0.5,2BK_TOOL,ACC_TARGET
1.0,2BK_TOOL,ACC_NONTARGET
1298.0,2BK_BODY,MEDIAN_RT
1203.0,2BK_BODY,MEDIAN_RT_TARGET
1298.0,2BK_BODY,MEDIAN_RT_NONTARGET
1076.0,2BK_FACE,MEDIAN_RT
1256.0,2BK_FACE,MEDIAN_RT_TARGET
1063.5,2BK_FACE,MEDIAN_RT_NONTARGET
1221.5,2BK_PLACE,MEDIAN_RT
1301.0,2BK_PLACE,MEDIAN_RT_TARGET
1153.5,2BK_PLACE,MEDIAN_RT_NONTARGET
1099.0,2BK_TOOL,MEDIAN_RT
1056.0,2BK_TOOL,MEDIAN_RT_TARGET
1178.0,2BK_TOOL,MEDIAN_RT_NONTARGET
