10.556	2.5	1
13.115	2.5	1
15.674	2.5	1
23.365	2.5	1
25.923	2.5	1
28.482	2.5	1
31.041	2.5	1
38.664	2.5	1
41.224	2.5	1
43.783	2.5	1
46.341	2.5	1
48.901	2.5	1
51.459	2.5	1
54.031	2.5	1
56.591	2.5	1
59.15	2.5	1
61.708	2.5	1
84.352	2.5	1
86.925	2.5	1
89.497	2.5	1
94.641	2.5	1
97.214	2.5	1
102.358	2.5	1
104.931	2.5	1
112.541	2.5	1
115.1	2.5	1
117.659	2.5	1
120.218	2.5	1
122.777	2.5	1
125.335	2.5	1
127.894	2.5	1
130.454	2.5	1
133.012	2.5	1
153.084	2.5	1
155.656	2.5	1
158.216	2.5	1
160.774	2.5	1
163.346	2.5	1
165.906	2.5	1
168.478	2.5	1
171.05	2.5	1
173.609	2.5	1
176.168	2.5	1
181.232	2.5	1
183.805	2.5	1
186.377	2.5	1
188.949	2.5	1
191.522	2.5	1
194.094	2.5	1
199.238	2.5	1
201.811	2.5	1
204.383	2.5	1
224.455	2.5	1
227.04	2.5	1
229.613	2.5	1
232.185	2.5	1
234.757	2.5	1
237.343	2.5	1
239.915	2.5	1
242.501	2.5	1
245.073	2.5	1
247.672	2.5	1
252.763	2.5	1
255.349	2.5	1
257.921	2.5	1
260.493	2.5	1
263.066	2.5	1
265.638	2.5	1
268.21	2.5	1
270.782	2.5	1
273.355	2.5	1
275.927	2.5	1
