Value,ConditionName,Measure
0.8,0BK_BODY,ACC
0.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
1318.0,0BK_BODY,MEDIAN_RT
nan,0BK_BODY,MEDIAN_RT_TARGET
1318.0,0BK_BODY,MEDIAN_RT_NONTARGET
1124.5,0BK_FACE,MEDIAN_RT
1025.5,0BK_FACE,MEDIAN_RT_TARGET
1124.5,0BK_FACE,MEDIAN_RT_NONTARGET
717.5,0BK_PLACE,MEDIAN_RT
705.0,0BK_PLACE,MEDIAN_RT_TARGET
790.0,0BK_PLACE,MEDIAN_RT_NONTARGET
579.0,0BK_TOOL,MEDIAN_RT
621.5,0BK_TOOL,MEDIAN_RT_TARGET
575.5,0BK_TOOL,MEDIAN_RT_NONTARGET
0.625,2BK_BODY,ACC
0.5,2BK_BODY,ACC_TARGET
0.666666666667,2BK_BODY,ACC_NONTARGET
0.875,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
0.833333333333,2BK_FACE,ACC_NONTARGET
0.875,2BK_PLACE,ACC
0.5,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
0.625,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
0.5,2BK_TOOL,ACC_NONTARGET
1737.0,2BK_BODY,MEDIAN_RT
1737.0,2BK_BODY,MEDIAN_RT_TARGET
1482.0,2BK_BODY,MEDIAN_RT_NONTARGET
1169.0,2BK_FACE,MEDIAN_RT
920.0,2BK_FACE,MEDIAN_RT_TARGET
1260.0,2BK_FACE,MEDIAN_RT_NONTARGET
998.0,2BK_PLACE,MEDIAN_RT
767.0,2BK_PLACE,MEDIAN_RT_TARGET
1103.0,2BK_PLACE,MEDIAN_RT_NONTARGET
1450.0,2BK_TOOL,MEDIAN_RT
1739.0,2BK_TOOL,MEDIAN_RT_TARGET
1225.0,2BK_TOOL,MEDIAN_RT_NONTARGET
