Value,ConditionName,Measure
0.8,0BK_BODY,ACC
0.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
808.5,0BK_BODY,MEDIAN_RT
nan,0BK_BODY,MEDIAN_RT_TARGET
808.5,0BK_BODY,MEDIAN_RT_NONTARGET
642.5,0BK_FACE,MEDIAN_RT
760.5,0BK_FACE,MEDIAN_RT_TARGET
607.0,0BK_FACE,MEDIAN_RT_NONTARGET
678.5,0BK_PLACE,MEDIAN_RT
700.0,0BK_PLACE,MEDIAN_RT_TARGET
668.5,0BK_PLACE,MEDIAN_RT_NONTARGET
568.5,0BK_TOOL,MEDIAN_RT
692.0,0BK_TOOL,MEDIAN_RT_TARGET
547.0,0BK_TOOL,MEDIAN_RT_NONTARGET
0.625,2BK_BODY,ACC
0.5,2BK_BODY,ACC_TARGET
0.666666666667,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
0.75,2BK_PLACE,ACC
0.5,2BK_PLACE,ACC_TARGET
0.833333333333,2BK_PLACE,ACC_NONTARGET
0.75,2BK_TOOL,ACC
0.5,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
1129.0,2BK_BODY,MEDIAN_RT
1429.0,2BK_BODY,MEDIAN_RT_TARGET
1078.0,2BK_BODY,MEDIAN_RT_NONTARGET
727.5,2BK_FACE,MEDIAN_RT
553.5,2BK_FACE,MEDIAN_RT_TARGET
856.0,2BK_FACE,MEDIAN_RT_NONTARGET
811.0,2BK_PLACE,MEDIAN_RT
1221.0,2BK_PLACE,MEDIAN_RT_TARGET
799.0,2BK_PLACE,MEDIAN_RT_NONTARGET
1183.5,2BK_TOOL,MEDIAN_RT
1493.0,2BK_TOOL,MEDIAN_RT_TARGET
1159.0,2BK_TOOL,MEDIAN_RT_NONTARGET
