Value,ConditionName,Measure
0.4,0BK_BODY,ACC
0.0,0BK_BODY,ACC_TARGET
0.5,0BK_BODY,ACC_NONTARGET
0.9,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
0.875,0BK_FACE,ACC_NONTARGET
0.6,0BK_PLACE,ACC
0.5,0BK_PLACE,ACC_TARGET
0.625,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
1071.0,0BK_BODY,MEDIAN_RT
nan,0BK_BODY,MEDIAN_RT_TARGET
1071.0,0BK_BODY,MEDIAN_RT_NONTARGET
817.0,0BK_FACE,MEDIAN_RT
797.0,0BK_FACE,MEDIAN_RT_TARGET
817.0,0BK_FACE,MEDIAN_RT_NONTARGET
655.0,0BK_PLACE,MEDIAN_RT
678.0,0BK_PLACE,MEDIAN_RT_TARGET
647.0,0BK_PLACE,MEDIAN_RT_NONTARGET
608.5,0BK_TOOL,MEDIAN_RT
576.5,0BK_TOOL,MEDIAN_RT_TARGET
608.5,0BK_TOOL,MEDIAN_RT_NONTARGET
0.5,2BK_BODY,ACC
0.5,2BK_BODY,ACC_TARGET
0.5,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
0.625,2BK_PLACE,ACC
0.0,2BK_PLACE,ACC_TARGET
0.833333333333,2BK_PLACE,ACC_NONTARGET
0.875,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
0.833333333333,2BK_TOOL,ACC_NONTARGET
1254.0,2BK_BODY,MEDIAN_RT
1484.0,2BK_BODY,MEDIAN_RT_TARGET
1024.0,2BK_BODY,MEDIAN_RT_NONTARGET
627.0,2BK_FACE,MEDIAN_RT
490.0,2BK_FACE,MEDIAN_RT_TARGET
720.0,2BK_FACE,MEDIAN_RT_NONTARGET
1478.0,2BK_PLACE,MEDIAN_RT
nan,2BK_PLACE,MEDIAN_RT_TARGET
1478.0,2BK_PLACE,MEDIAN_RT_NONTARGET
1020.0,2BK_TOOL,MEDIAN_RT
835.0,2BK_TOOL,MEDIAN_RT_TARGET
1020.0,2BK_TOOL,MEDIAN_RT_NONTARGET
