Value,ConditionName,Measure
1.0,0BK_BODY,ACC
1.0,0BK_BODY,ACC_TARGET
1.0,0BK_BODY,ACC_NONTARGET
1.0,0BK_FACE,ACC
1.0,0BK_FACE,ACC_TARGET
1.0,0BK_FACE,ACC_NONTARGET
1.0,0BK_PLACE,ACC
1.0,0BK_PLACE,ACC_TARGET
1.0,0BK_PLACE,ACC_NONTARGET
1.0,0BK_TOOL,ACC
1.0,0BK_TOOL,ACC_TARGET
1.0,0BK_TOOL,ACC_NONTARGET
664.5,0BK_BODY,MEDIAN_RT
767.0,0BK_BODY,MEDIAN_RT_TARGET
597.0,0BK_BODY,MEDIAN_RT_NONTARGET
536.0,0BK_FACE,MEDIAN_RT
529.5,0BK_FACE,MEDIAN_RT_TARGET
536.0,0BK_FACE,MEDIAN_RT_NONTARGET
592.5,0BK_PLACE,MEDIAN_RT
508.0,0BK_PLACE,MEDIAN_RT_TARGET
622.5,0BK_PLACE,MEDIAN_RT_NONTARGET
677.0,0BK_TOOL,MEDIAN_RT
1015.5,0BK_TOOL,MEDIAN_RT_TARGET
677.0,0BK_TOOL,MEDIAN_RT_NONTARGET
1.0,2BK_BODY,ACC
1.0,2BK_BODY,ACC_TARGET
1.0,2BK_BODY,ACC_NONTARGET
1.0,2BK_FACE,ACC
1.0,2BK_FACE,ACC_TARGET
1.0,2BK_FACE,ACC_NONTARGET
1.0,2BK_PLACE,ACC
1.0,2BK_PLACE,ACC_TARGET
1.0,2BK_PLACE,ACC_NONTARGET
1.0,2BK_TOOL,ACC
1.0,2BK_TOOL,ACC_TARGET
1.0,2BK_TOOL,ACC_NONTARGET
968.0,2BK_BODY,MEDIAN_RT
839.0,2BK_BODY,MEDIAN_RT_TARGET
1041.5,2BK_BODY,MEDIAN_RT_NONTARGET
1224.5,2BK_FACE,MEDIAN_RT
1132.0,2BK_FACE,MEDIAN_RT_TARGET
1229.0,2BK_FACE,MEDIAN_RT_NONTARGET
1101.0,2BK_PLACE,MEDIAN_RT
1167.0,2BK_PLACE,MEDIAN_RT_TARGET
1101.0,2BK_PLACE,MEDIAN_RT_NONTARGET
1103.0,2BK_TOOL,MEDIAN_RT
728.0,2BK_TOOL,MEDIAN_RT_TARGET
1270.0,2BK_TOOL,MEDIAN_RT_NONTARGET
